番号,日付,時間,ms,CHU1-1,CHU1-2,CHU1-3,CHU1-4,CHU2-1,CHU2-2,CHU2-3,CHU2-4,CHU2-5,CHU2-6,CHU2-7,CHU2-8,CHU2-9,CHU2-10,AlarmU1,AlarmU2,AlarmOut,MarkEvent
NO.,Date,Time,ms," V"," V"," V"," V"," V"," V"," V"," V"," V"," V"," V"," V"," V"," V","A1234567890","A1234567890","AO1234567890","Alarm/Info/x/User12345678"
78,2024-12-18,16:49:17,770,-0.006,-0.003,-0.004,-0.003,+0.01,+0.01,+0.01,+0.06,+0.04,+3.374,+0.011,+0.04,-0.02,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
79,2024-12-18,16:49:17,780,-0.006,-0.001,-0.001,-0.003,+0.02,+0.03,+0.01,+0.03,+0.04,+3.376,+0.013,+0.03,-0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
80,2024-12-18,16:49:17,790,-0.007,-0.001,-0.003,-0.007,+0.00,+0.04,+0.03,+0.02,+0.02,+3.376,+0.011,+0.04,+0.01,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
81,2024-12-18,16:49:17,800,-0.007,-0.003,-0.004,-0.005,+0.03,+0.02,+0.01,+0.04,+0.03,+3.374,+0.012,+0.04,-0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
82,2024-12-18,16:49:17,810,-0.007,-0.002,-0.001,-0.004,+0.03,+0.04,+0.01,+0.04,+0.03,+3.375,+0.009,+0.01,-0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
83,2024-12-18,16:49:17,820,-0.007,-0.001,-0.002,-0.004,+0.04,+0.01,+0.01,+0.05,+0.03,+3.373,+0.010,+0.03,+0.02,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
84,2024-12-18,16:49:17,830,-0.005,-0.001,-0.004,-0.006,+0.04,+0.02,-0.01,+0.04,+0.03,+3.376,+0.011,+0.02,+0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
85,2024-12-18,16:49:17,840,-0.006,-0.003,-0.001,-0.005,+0.04,+0.02,+0.01,+0.04,+0.01,+3.376,+0.011,+0.01,+0.01,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
86,2024-12-18,16:49:17,850,-0.005,-0.002,-0.004,-0.004,+0.04,+0.01,+0.01,+0.05,+0.01,+3.374,+0.010,+0.03,-0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
87,2024-12-18,16:49:17,860,-0.005,-0.001,-0.003,-0.005,+0.01,+0.01,+0.01,+0.07,+0.03,+3.373,+0.011,+0.01,-0.01,-0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
